ALogP,ALogp2,AMR,apol,nAtom,nHeavyAtom,nH,nC,ATS0m,ATS1m,ATS2m,ATS3m,ATS4m,ATS5m,ATS6m,ATS7m,ATS8m,ATS0v,ATS1v,ATS2v,ATS3v,ATS4v,ATS5v,ATS6v,ATS7v,ATS8v,ATS0e,ATS1e,ATS2e,ATS3e,ATS4e,ATS5e,ATS6e,ATS7e,ATS0p,ATS1p,ATS2p,ATS3p,ATS4p,ATS5p,ATS6p,ATS7p,ATS8p,ATS0i,ATS1i,ATS2i,ATS3i,ATS4i,ATS5i,ATS6i,ATS7i,ATS8i,ATS0s,ATS1s,ATS2s,ATS3s,ATS4s,ATS5s,ATS6s,ATS7s,AATS0m,AATS1m,AATS2m,AATS3m,AATS4m,AATS5m,AATS6m,AATS7m,AATS8m,AATS0v,AATS1v,AATS2v,AATS3v,AATS4v,AATS5v,AATS6v,AATS7v,AATS8v,AATS0e,AATS1e,AATS2e,AATS3e,AATS4e,AATS5e,AATS6e,AATS7e,AATS0p,AATS1p,AATS2p,AATS3p,AATS4p,AATS5p,AATS6p,AATS7p,AATS8p,AATS0i,AATS1i,AATS2i,AATS3i,AATS4i,AATS5i,AATS6i,AATS7i,AATS8i,AATS0s,AATS1s,AATS2s,AATS3s,AATS4s,AATS5s,AATS6s,AATS7s,ATSC0c,ATSC1c,ATSC2c,ATSC3c,ATSC4c,ATSC5c,ATSC6c,ATSC7c,ATSC8c,ATSC0m,ATSC1m,ATSC2m,ATSC3m,ATSC4m,ATSC5m,ATSC6m,ATSC7m,ATSC0v,ATSC1v,ATSC2v,ATSC3v,ATSC4v,ATSC5v,ATSC6v,ATSC7v,ATSC0e,ATSC1e,ATSC2e,ATSC3e,ATSC4e,ATSC5e,ATSC6e,ATSC7e,ATSC0p,ATSC1p,ATSC2p,ATSC3p,ATSC4p,ATSC5p,ATSC6p,ATSC7p
0.50621331,0.000271566,0.044800672,0.035762514,0.02826087,0.035087719,0.025104603,0.04375,0.009217189,0.011056061,0.014647783,0.010878197,0.006388656,0.003493343,2.82E-05,0,0,0.042465379,0.041243777,0.036577489,0.028877977,0.015452391,0.004928161,0.000397614,0,0,0.036597282,0.035144847,0.031043892,0.024453268,0.019710259,0.008819155,0.001818956,0,0.009309968,0.021855653,0.02315311,0.026853158,0.015375266,0.005324291,0.000784408,0,0,0.034447613,0.033138209,0.029515682,0.021940198,0.01904208,0.008801461,0.002311882,0,0,0.038215676,0.037434101,0.023755275,0.021532695,0.023902015,0.020294935,0.006252442,0.030331234,0.007148024,0.01375181,0.024789608,0.02215929,0.011978729,0.004657546,0.000396996,0,0,0.136434833,0.267794019,0.331677679,0.264740658,0.165759791,0.109156459,0.043362187,0,0,0.650528675,0.692729682,0.57631089,0.615231655,0.600794659,0.577208773,0.483342734,0,0.004174758,0.043711307,0.100123916,0.088185606,0.060922628,0.057610915,0.038866123,0,0,0.646361404,0.594562469,0.731469617,0.661138058,0.708242119,0.671211564,0.762997347,0,0,0.155943109,0.244907407,0.064959491,0.161587748,0.255208333,0.285416667,0.2125,0.160594579,1.45E-05,0.999985318,0.264422652,0.596917201,0.288135336,0.754578948,0.460795115,0.427088663,0.53227761,0.004044239,0.248877035,0.56752366,0.530293983,0.716555791,0.692939836,0.57157078,0.798525666,0.038300992,0.362470774,0.529683848,0.422546579,0.478588405,0.483662936,0.38603892,0.59069719,0.027060664,0.76540215,0.421471662,0.437941911,0.463237135,0.478258273,0.422027616,0.412644721,0.001645497,0.702151191,0.24995903,0.605698071,0.568219733,0.663894438,0.681604919,0.813430198
0.433177297,0.016639286,0.105723477,0.126758307,0.126086957,0.096491228,0.154811715,0.13125,0.021230772,0.028988648,0.034094394,0.027368441,0.028326374,0.037370053,0.031547718,0.027540955,0.024544719,0.124457028,0.132439114,0.12092401,0.109014648,0.095017416,0.082611305,0.068809882,0.057625505,0.050867592,0.131510459,0.13539546,0.135898432,0.128574927,0.115759807,0.098660254,0.090629688,0.073929738,0.030484444,0.076886462,0.089844897,0.124401339,0.110324648,0.096166306,0.082823274,0.06984939,0.060905693,0.144037801,0.137483406,0.142284777,0.137195657,0.125081847,0.106173112,0.097150746,0.081352722,0.069146667,0.04312912,0.088861763,0.052444135,0.044959626,0.052740316,0.049898372,0.037123877,0.058751184,0.00411617,0.009014204,0.012364426,0.009467071,0.008016898,0.003907774,0.009434012,0.005935261,0.007194732,0.099965397,0.214980324,0.234967674,0.169709194,0.153851177,0.143513864,0.159662194,0.142876114,0.225049914,0.584410364,0.667184962,0.540615298,0.549319081,0.532605487,0.506451652,0.51239592,0.442545615,0.003417444,0.038443231,0.083255919,0.069373567,0.06598461,0.081612319,0.087313964,0.064404888,0.115733643,0.675667102,0.616678417,0.75560553,0.70203477,0.702224163,0.635051589,0.682190502,0.544061176,0.543179419,0.043998234,0.145341435,0.030730717,0.103657485,0.221422956,0.22183415,0.221276596,0.181995212,2.24E-05,0.999979837,0.264423811,0.596899662,0.288147923,0.754596341,0.460764114,0.427103388,0.532277612,0.01377567,0.248415364,0.563531364,0.533041037,0.718229792,0.693663193,0.568125995,0.79885293,0.160162855,0.376453838,0.463303829,0.445024872,0.473717887,0.479434402,0.373865411,0.594980129,0.024729518,0.759539637,0.42080458,0.450331987,0.476896808,0.479981664,0.415922021,0.412497561,0.006300829,0.70330408,0.245520743,0.607235688,0.567012858,0.662407374,0.680493792,0.81390186
0.574449009,0.0232229,0.145518148,0.109691279,0.084782609,0.092105263,0.079497908,0.13125,0.115547144,0.038232596,0.048160502,0.043321864,0.073881837,0.153678617,0.137380059,0.067944872,0.009418549,0.124907464,0.121935116,0.117262804,0.116711609,0.126982062,0.139952815,0.114913003,0.061793236,0.020168522,0.089728796,0.096196095,0.088330027,0.081024787,0.082241557,0.09032657,0.100260432,0.067304876,0.037926532,0.071310285,0.085139661,0.124691285,0.137045137,0.159407811,0.15085186,0.087415403,0.029766828,0.091434963,0.093209365,0.084676201,0.077860502,0.077942231,0.086047352,0.100193824,0.072278985,0.035049175,0.028124623,0.073821675,0.041139455,0.033842748,0.048518397,0.056897515,0.046886544,0.058890614,0.032783409,0.01658884,0.027168617,0.024067702,0.029952096,0.017816873,0.037131859,0.015984813,0.005521671,0.146820282,0.276181154,0.354438897,0.291807534,0.294519549,0.269555599,0.240998849,0.167253756,0.178460351,0.583521482,0.661427709,0.546597672,0.555965987,0.542017504,0.514071618,0.512341179,0.439820481,0.006222052,0.049751362,0.122726726,0.11167784,0.117410754,0.149987382,0.143739622,0.087990183,0.113126484,0.627676659,0.583379028,0.699493338,0.639878309,0.626799238,0.570616482,0.635909038,0.527688637,0.55065533,0.041987377,0.168477229,0.037499011,0.110247581,0.227941942,0.228174698,0.225236218,0.184071553,7.57E-06,0.999992374,0.264412778,0.596907962,0.288164647,0.754570963,0.460784307,0.427079603,0.532279753,0.115840884,0.249018393,0.550060992,0.522492336,0.726429592,0.710174643,0.52832203,0.774857011,0.136560218,0.37654481,0.478828846,0.452449508,0.480953396,0.459515187,0.327397857,0.57610527,0.003850903,0.765798829,0.41820744,0.448486085,0.47585373,0.468296478,0.418006855,0.412513697,0.012516125,0.702599348,0.243118428,0.605150385,0.570544024,0.669360036,0.663819288,0.805014442
0.516648575,0.001388615,0.074234793,0.068055811,0.060869565,0.057017544,0.066945607,0.06875,0.019980346,0.016677301,0.019744559,0.015223239,0.014768441,0.018745815,0.012868052,0.00879031,0.004227286,0.072511868,0.06705567,0.058859285,0.051994747,0.040405044,0.03096886,0.023354906,0.017568667,0.011751349,0.069062608,0.066904087,0.060638468,0.048931853,0.048843773,0.032735298,0.02694873,0.01841408,0.017606525,0.037916923,0.040351968,0.054528854,0.044264972,0.032564567,0.025339849,0.020428873,0.01527932,0.071547686,0.06678895,0.063241919,0.047985357,0.051565917,0.033763047,0.026792433,0.019120711,0.019186074,1,1,0.029085663,0.025768359,0.034063258,0.028178531,0.020776345,0.039305955,0.007747481,0.010729475,0.016707644,0.01443583,0.010224305,0.006120761,0.013912199,0.007755081,0.004505941,0.116484826,0.225201463,0.266862372,0.221895816,0.160035733,0.167986717,0.195922317,0.178322037,0.189056976,0.613805234,0.6821,0.562858063,0.57309839,0.549719085,0.524695589,0.550843188,0.451242727,0.003947542,0.039224403,0.087249552,0.0833613,0.064761078,0.086292577,0.096580588,0.077111996,0.105577913,0.671246258,0.61982107,0.783643457,0.673125613,0.708154465,0.630567297,0.680183641,0.523481098,0.548056694,1,1,0.039767795,0.121562636,0.231666667,0.233503401,0.236698718,0.188260529,1.96E-05,0.999987692,0.264405844,0.596896077,0.288176768,0.754582462,0.460779209,0.427079631,0.532274482,0.013564106,0.245362635,0.565790037,0.528747138,0.722212482,0.6962564,0.564220157,0.796322744,0.083889415,0.333983589,0.540379776,0.404413369,0.509465303,0.491613088,0.364478602,0.562275061,0.030066877,0.76137723,0.410599642,0.443703287,0.48187906,0.472201924,0.404475414,0.412269579,0.00364454,0.699799196,0.251521661,0.604137543,0.570185708,0.663126626,0.680784187,0.810184348
0.497939736,0,0,0.087632873,0.082608696,0.065789474,0.10041841,0.0875,0.021096104,0.019223693,0.026731844,0.023085897,0.024665169,0.03101906,0.017940382,0.0076727,0.002031417,0.087948998,0.084225172,0.083791453,0.08861499,0.081546484,0.069245058,0.051354954,0.027203789,0.010649758,0.088313966,0.08784959,0.088659591,0.071589718,0.095431627,0.073996767,0.072622717,0.060866461,0.022079963,0.048998081,0.058653143,0.095250966,0.094477795,0.078967031,0.066158116,0.040187267,0.016132969,0.095903879,0.089775219,0.096534731,0.068055704,0.103063702,0.077928239,0.07745843,0.073442239,0.027080425,1,0.058504051,0.033199188,0.030257149,0.044253369,0.039924025,0.03152273,0.049676744,0.006135091,0.009196507,0.015080142,0.014594533,0.00840858,0.004353323,0.006635512,0.00195145,0.001587905,0.105962555,0.210334734,0.253268295,0.252119003,0.159047205,0.16144691,0.147383168,0.079601748,0.125645273,0.58867862,0.665991263,0.548637057,0.558980835,0.528887575,0.509794429,0.507834181,0.429996818,0.003712895,0.037690831,0.084547062,0.097076975,0.068064874,0.089942545,0.086263824,0.043731361,0.081749437,0.674813435,0.61951465,0.797454306,0.636444677,0.696964107,0.625569984,0.672732613,0.579655379,0.567278419,1,0.147213319,0.030261381,0.11069887,0.221164773,0.222459795,0.221600877,0.177786793,9.96E-06,0.999993937,0.264406829,0.596905673,0.288175097,0.754556828,0.460781764,0.427097102,0.532279458,0.015425223,0.247005059,0.569938831,0.523289421,0.720715152,0.688181313,0.55707851,0.807042927,0.11203905,0.325192599,0.622746404,0.341287588,0.485364793,0.444818512,0.280518448,0.669116012,0.017789924,0.766786057,0.412017716,0.443999853,0.479988211,0.465070188,0.416727139,0.416255451,0.004734946,0.69943849,0.257728675,0.598417195,0.567748121,0.658466879,0.661027037,0.823437289
0.488763392,0.000334062,0.042612667,0.033115368,0.026086957,0.035087719,0.020920502,0.0375,0.009524347,0.011356509,0.014234042,0.009917372,0.007103213,0.004769398,0.000429904,8.85E-06,0,0.039961862,0.037830061,0.031353656,0.023244618,0.013592873,0.006314541,0.001453699,0.000119877,0,0.035357796,0.03444422,0.027342368,0.021042187,0.014263552,0.008422528,0.003564461,0.000535476,0.008507509,0.019134412,0.019234313,0.021443967,0.012239659,0.005680582,0.001806771,0.000237248,0,0.032986015,0.032395881,0.025197833,0.019825818,0.013407234,0.007890949,0.003722856,0.000695337,0,0.035899575,0.041255352,0.027855573,0.019237674,0.020668892,0.016726009,0.008076071,0.030464193,0.007913816,0.01513448,0.028907283,0.023715454,0.018802622,0.006936942,0.003625344,0.000249736,0,0.137562227,0.263173828,0.341170748,0.25015674,0.205852935,0.152579039,0.095120648,0.038936012,0,0.673389,0.727414103,0.609113241,0.621482001,0.613795542,0.601363403,0.568300662,0.419904,0.004087415,0.041002311,0.099812841,0.082669135,0.068467995,0.067053952,0.053713523,0.028656971,0,0.663146311,0.622761093,0.749355514,0.701323929,0.703993868,0.656481419,0.737199147,0.609175555,0,0.156955727,0.289186508,0.09140625,0.16510732,0.264215686,0.26780303,0.2425,0.173710289,2.47E-05,0.999975744,0.264416419,0.59694145,0.288152642,0.754563637,0.460791123,0.427092476,0.53227761,0.003760711,0.248547038,0.566122777,0.532425796,0.718222441,0.691735794,0.569430213,0.798973007,0.032466461,0.365160331,0.510086836,0.443600025,0.484922617,0.480407224,0.379781458,0.594535156,0.02815981,0.754075073,0.433316966,0.455697032,0.467519828,0.453837838,0.415384597,0.413319227,0.001412163,0.702340197,0.249155884,0.607701733,0.567903697,0.663003601,0.681229471,0.813759607
0.480822743,0.001162367,0.090252731,0.091864991,0.089130435,0.083333333,0.09623431,0.09375,0.020555683,0.026784958,0.038663131,0.033697594,0.03752425,0.043228822,0.037079647,0.030297868,0.026737362,0.096883384,0.104444998,0.106988063,0.107169777,0.092188606,0.074580766,0.058511153,0.045917087,0.036735155,0.101191461,0.102798764,0.107808268,0.110431702,0.110491618,0.083458444,0.077343918,0.054945687,0.022145279,0.057145313,0.072715042,0.10979067,0.096592862,0.077160076,0.063986331,0.049422369,0.038964225,0.10340335,0.1010152,0.107620597,0.108499934,0.113348819,0.083043486,0.078893615,0.057670298,0.041730259,0.07406562,0.08028164,0.053740359,0.055835662,0.08231473,0.063881103,0.053001028,0.062747336,0.005560863,0.011357663,0.018475113,0.014479435,0.011808331,0.00576354,0.013835815,0.009297289,0.012883488,0.108583132,0.231189799,0.273923945,0.207243061,0.165972427,0.165192907,0.16940671,0.162107341,0.267163998,0.627457444,0.69076228,0.565099667,0.586069768,0.565246997,0.546230858,0.545634739,0.468334277,0.003464073,0.038962713,0.088786117,0.076053913,0.064235665,0.083490222,0.084170361,0.064887829,0.121709972,0.676820798,0.61786525,0.753062777,0.689659762,0.707553964,0.633301065,0.691261005,0.549175697,0.538866912,0.105429976,0.179056187,0.041493056,0.122523569,0.238745629,0.236953125,0.240031957,0.195352002,3.79E-05,0.999969157,0.264437535,0.596852521,0.288203518,0.75452427,0.460854613,0.426975214,0.53232406,0.011872419,0.248980083,0.567287459,0.527214939,0.722315646,0.686046211,0.571637105,0.801197321,0.110046288,0.378442988,0.510371812,0.393095147,0.50421353,0.447075172,0.38909825,0.623958768,0.062854219,0.756196811,0.443246408,0.425407872,0.489793799,0.429623027,0.436723319,0.407337551,0.004368611,0.703065163,0.248699856,0.603364596,0.568774393,0.659268007,0.684250669,0.816552824
0.492605193,0.000112897,0.081586171,0.072274376,0.065217391,0.074561404,0.058577406,0.08125,0.019120508,0.024164701,0.035804053,0.035603843,0.043417365,0.043457616,0.024454914,0.010337262,0.004784963,0.083213154,0.085838287,0.085500185,0.089505858,0.084000157,0.063290631,0.035294774,0.015529901,0.007185048,0.079074715,0.079860661,0.075197538,0.066697762,0.073763528,0.064118999,0.055837737,0.02640886,0.018121662,0.044437236,0.053211682,0.080719402,0.078194616,0.062012902,0.036729976,0.0170078,0.007200054,0.075128642,0.074906239,0.071392565,0.059424178,0.066450289,0.061292134,0.054299326,0.02813904,0.011509623,0.070053801,0.079680147,0.052470589,0.044820406,0.091441566,0.059171364,0.047942628,0.048568754,0.006950695,0.013662122,0.025513283,0.026462316,0.0219526,0.007640497,0.01356751,0.006786864,0.008858552,0.125320905,0.25333827,0.326441825,0.299390064,0.242987997,0.18486038,0.151938278,0.117304974,0.200768244,0.658865127,0.715504482,0.587787948,0.612272932,0.606312665,0.553391566,0.585690943,0.481605424,0.0038091,0.040397487,0.096888416,0.096719115,0.083551465,0.088484026,0.071838536,0.047775714,0.08641022,0.660789448,0.610891057,0.744959806,0.653351435,0.666477476,0.616381001,0.707390935,0.573307682,0.571032476,0.133997787,0.236952862,0.060413621,0.142519101,0.269655119,0.244681013,0.253134137,0.202432676,4.60E-05,0.999967487,0.264426197,0.596810218,0.288270756,0.754496512,0.460827354,0.427079862,0.532276563,0.009189247,0.248608229,0.570414174,0.533338987,0.716873663,0.689807576,0.561772128,0.800919961,0.080509126,0.378384288,0.570124394,0.454654226,0.42792384,0.422797454,0.365295563,0.624033195,0.066581904,0.746411263,0.434997874,0.431138268,0.524605803,0.454227863,0.401134715,0.405108263,0.003394681,0.703067639,0.25268967,0.607357436,0.56449413,0.651174471,0.683326504,0.816639507
0.512415007,0.000831269,0.090607481,0.067589017,0.054347826,0.065789474,0.046025105,0.0875,0.014979328,0.020211761,0.024789986,0.018916953,0.017128871,0.022312648,0.01941104,0.016301824,0.011764916,0.079753467,0.078798475,0.069743577,0.058019595,0.042798437,0.034221771,0.028094735,0.023700771,0.019069331,0.062022118,0.064304998,0.054583883,0.045727722,0.037797425,0.026742773,0.023427446,0.017844613,0.018158243,0.042608345,0.045981814,0.057851329,0.043049962,0.033287708,0.028173122,0.024133602,0.020247442,0.061184687,0.061793613,0.051786888,0.043654177,0.037050916,0.02568759,0.022136141,0.017160239,0.016553915,0.036131185,0.061423062,0.034125062,0.027759627,0.033043285,0.028551404,0.022100647,0.042873684,0.006453678,0.013467805,0.023416223,0.019267267,0.015730596,0.009153425,0.024072294,0.015340766,0.013794481,0.14235323,0.274090183,0.3529794,0.265949131,0.224867434,0.233229603,0.270343799,0.256600444,0.33746841,0.612479689,0.679016139,0.565571974,0.575242976,0.564301361,0.538553707,0.549288261,0.466440275,0.004523602,0.045651798,0.110983232,0.094991704,0.083549513,0.11082647,0.123170435,0.097169148,0.153897612,0.63780294,0.593943689,0.716318333,0.657729663,0.674965345,0.602760301,0.644616823,0.501128408,0.520154995,0.081909512,0.215277778,0.052083333,0.130020316,0.240504535,0.24284188,0.245833333,0.201836199,1.54E-05,0.999987788,0.264410474,0.596919047,0.288157209,0.754562348,0.460804648,0.427093438,0.532271325,0.006528394,0.249234294,0.564723739,0.531352904,0.718109851,0.693833702,0.569750856,0.798213772,0.072989158,0.364054963,0.49806995,0.428163087,0.488581991,0.488945461,0.380682229,0.583831731,0.019955764,0.765631649,0.416336232,0.447147805,0.471596739,0.466833094,0.422236367,0.412142037,0.002972233,0.70207173,0.248350612,0.605980877,0.568758612,0.663617067,0.682017649,0.812445906
